"crl.tot","dollar","bang","money","n000","make","yesno"
660,1.961,0.387,1.36,0.68,0.51,"y"
3213,0.793,0.346,0.33,1.01,0.46,"y"
1500,0.152,0.37,0.6,0.36,0.32,"y"
75,0,0,0,0,0,"y"
104,0,0,0,0,0,"y"
67,0,0,0,0,0,"n"
208,0.265,0.113,0,0,0.29,"n"
75,0,0,0,0.51,0.51,"n"
467,0.167,0.01,0.05,0.81,0.17,"y"
120,0,0,0,0,0,"n"
1351,0.152,0.474,0.1,0.6,0.1,"y"
57,0,0.374,0,0,0,"n"
14,0,0.414,0,0,1.17,"n"
139,0.169,0,0.32,0,0,"y"
45,0,0,0,0,0,"n"
749,0,0.063,0,0,0.22,"n"
442,0.167,0.01,0.06,0.84,0.18,"y"
456,0.017,0,0,0,0.12,"n"
25,0,0,0,0,0,"n"
104,0,0.19,0,0,0,"n"
146,0,0,0,0,0,"n"
39,0,0,0,0,0,"n"
7,0,1.754,0,0,0,"y"
5,0,0,0,0,0,"n"
118,0,1.765,0,0,0,"y"
103,0.073,0.367,0,0,0,"y"
250,0.118,0.094,0.42,0.14,0.28,"y"
129,0.052,0.105,1.2,0,0.4,"y"
2771,0.535,0.363,0.52,0.63,0.52,"y"
725,1.33,5.924,0.09,0,0.09,"y"
28,0,0.671,0,0,0,"y"
194,0.333,1.083,0,0,0,"y"
197,0.3,0.6,0,0.84,0,"y"
18,0,0,0,0,0,"n"
104,0,0.122,0.38,0,0,"y"
445,0,0.199,0,0,0,"y"
28,0,0.225,0,0,0,"n"
598,0.024,0,0,0,0.08,"n"
9,0,0,0,0,0,"n"
557,0,0,0,0,0,"n"
144,0.162,0,0.31,0,0,"y"
913,0,0,0,0,0,"n"
33,0,0,0,0,0,"n"
97,0,0.117,0,0,0.66,"n"
1112,0.217,0.593,0.93,0.8,0.4,"y"
28,0,0.711,0,0,0,"y"
61,0,0,0,0,0.29,"n"
54,0,0,0,0,0,"y"
578,0.161,0.161,0,0,0.25,"y"
38,0,0,0,0,0.72,"n"
107,0.182,0.365,0,0,0,"y"
21,0,0.147,0,0,0,"y"
8,0,0,0,0,0,"n"
14,0,0,0,0,0.42,"n"
1426,0.16,0.336,0.2,0.4,0.1,"y"
94,0,0,0,0,0,"n"
281,0,0.144,0.6,0,0,"y"
68,0,0,0,0,0,"n"
33,0,0,0,0,0,"n"
38,0,0,0,0,0,"n"
446,0.289,0.52,1.23,0.76,1.23,"y"
359,0.024,0,0,0,0,"n"
16,0,0.238,0,0,0,"n"
38,0.086,0.26,0,0,0,"y"
20,0,0,0,0,0,"n"
29,0,0,0,0,0,"n"
9,0,0,0,0,0,"n"
1402,0.114,0.42,0.08,0.85,0.08,"y"
333,0,0.471,0,0,0,"n"
28,0,0.393,0,0,0,"n"
225,0.165,0.497,0,0,0,"y"
702,0.264,0.611,1.04,0.1,0,"y"
4,0,0,0,0,0,"n"
61,0,0,0,0,0,"n"
595,0.231,0.925,0.49,0,0.65,"y"
47,0,0,0,0,0,"n"
447,0.169,0.01,0.06,0.84,0.18,"y"
157,0,0.329,0,0,0,"n"
74,0,0,0,0,0,"n"
728,0.114,0.659,0.22,0,0.22,"y"
312,0.069,0,0,0,0,"n"
110,0,0.057,0,0,0.31,"y"
31,0,0,0,0,0,"n"
9,0,0,0,0,0,"n"
38,0,1.554,0,0,0,"y"
6,0,0,0,0,0,"n"
16,0,0.386,0,0,0,"n"
535,0.031,0.249,0.09,0.36,0.09,"y"
36,0,0.375,0,0,0,"n"
67,0,0,0,0,0,"n"
758,0,0.02,0,0,0,"n"
45,0,0,0,0,0,"y"
1235,0,0.366,0,0,0.13,"y"
26,0,0,0,0,0,"n"
29,0,0.873,0,0,0,"y"
26,0,0,0,0,0,"n"
9,0,0.8,0,0,0,"n"
70,0.099,0.396,0.57,0,0.57,"y"
107,0.222,1.777,0,0,0,"y"
244,0.107,0.241,0.18,0,0,"y"
4,0,0,0,0,0,"n"
629,0.196,0.13,0.22,0.22,0,"y"
167,0,0,0,0,0,"n"
655,0.134,0.23,0.46,0.46,0.11,"y"
4,0,0,0,0,0,"n"
706,0.021,0,0,0,0.07,"n"
910,0.053,0,0,0.05,0,"n"
507,0.119,0,0.12,1.13,0.12,"y"
1733,0.15,0.563,0.44,0.44,0.22,"y"
372,0,0,0,0,0,"n"
132,0,0,0,0,0,"n"
3,0,0,0,0,0,"y"
5,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
25,0,0.233,0,0,0,"y"
102,0,0,0,0,0,"y"
178,0,0,0,0,0,"y"
3,0,0,0,0,0,"n"
9,0,0,0,0,0,"n"
1622,0.342,0.045,0.28,0.84,0.28,"y"
971,0,0.042,0,0,0.11,"n"
172,0,0,0,0,0,"y"
98,0,0,0,0,0,"n"
485,0.033,0,0,0,0.12,"n"
29,0,0,0.56,0,0,"n"
4,0,0,0,0,0,"n"
34,0.862,0,0,0,0,"y"
75,0,0.292,0,0,0,"y"
249,0.434,0.514,0,0.77,0,"y"
35,0,0,0,0,0,"n"
373,0,0.487,0,0,0,"y"
127,0,1.434,0,0,0,"y"
157,0.123,0,0.73,0,0,"n"
219,0,0,0,0,0,"n"
4,0,0,0,0,0,"n"
187,0,0.021,0,0,0,"n"
10,0,0,0,0,0,"y"
11,0,0,0,0,0,"n"
19,0,0,0,0,0,"y"
3,0,0,0,0,0,"n"
977,0.39,0.244,0,3.38,0,"y"
68,0,0.162,0,0,0,"n"
57,0,0,0,0,0,"n"
37,0,0,0,0,0,"n"
34,0,0,0,0,0,"n"
25,0,0,0,0,0,"n"
11,0,0,0,0,0,"n"
22,0,0,0,0,0,"n"
53,0,0,0,0,0,"n"
100,0,0.302,0,0,0,"n"
28,0,0,0,0,0,"n"
87,0,0.567,0,0,0,"y"
69,0,0.684,0,0,0,"y"
450,0.149,0.97,0.41,0.82,0.41,"y"
118,0,0.834,0,0,0,"y"
10,0,0,0,0,0,"n"
88,0.223,0.111,0,0,0,"n"
35,0,0,0,0,0,"n"
109,0,0,0,0,0,"n"
43,0,0,0,0,0,"n"
552,0.066,0,0,0.09,0,"n"
33,0,0.377,0,0,0.74,"n"
1,0,0,0,0,0,"n"
94,0,0,0,0,0,"n"
106,0,0,0,0,0,"y"
1613,0.141,0.337,0.76,0.29,0.4,"y"
65,0,0.536,0,0,0,"y"
20,0,0.763,0,0,0,"n"
13,0,0,0,0,0,"n"
42,0,0.336,0,0,0,"n"
621,0.055,1.718,0.34,0,0.17,"y"
603,0,0.034,0,0,0,"y"
80,0,0.376,0,0,0,"n"
141,0,0.328,0,0,0,"y"
40,0,1.094,4.16,0,0,"y"
6,0,0,0,0,0,"n"
37,0,0,0,0,0,"n"
33,0,0,0,0,0,"y"
12,0,0,0,0,0,"n"
68,0.277,0,0,0,0,"n"
30,0,0,0,0,0,"n"
63,0.111,1.116,0,0,0,"y"
94,0,0.18,0,0,0,"y"
118,0,0,0,0,0,"n"
71,0,0,0,0,0,"n"
42,0,0.175,0,0,1.42,"n"
5,0,0,0,0,0,"n"
197,0.3,0.6,0,0.84,0,"y"
53,0.199,0,1.31,0,0,"y"
73,0,0.434,0,0,0,"y"
63,0,0.098,0,0,0,"n"
114,0.549,0.48,0.41,0,1.24,"y"
13,0,0,0,0,0,"n"
14,0,0,0,0,0,"n"
36,0,0,0,0,0,"y"
69,0,0.065,0,0,0.17,"n"
51,0,7.707,0,0,0,"n"
143,0,0,0,0,0,"n"
20,0,0.263,0,0,0,"y"
5,0,0,0,0,0,"n"
694,0,0,0,0,0,"n"
75,0.09,0.09,0,0,0.58,"y"
94,0.17,0.17,0,0,0,"y"
16,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
61,0.626,0.208,0,0,0,"y"
405,0.062,0.374,0,0.21,0.21,"n"
2,0,0,0,0,0,"n"
70,0,0,0,0,0,"n"
578,0.504,0.458,0.54,0.27,0.27,"y"
69,0,0,0,0,0.33,"y"
120,0,0,0,0,0,"n"
190,0.33,1.32,0,0,0,"y"
79,0.552,0.368,0.37,0,0,"y"
15,0,0.729,0,0,0,"n"
608,0,0.174,0,0,0.15,"n"
110,0,1.939,0,0,0,"y"
111,0,0,0,0,0,"n"
543,0.036,1.018,0,0,0,"y"
100,0,0,0,0,0.75,"n"
5,0,0,0,0,0,"n"
7,0,0,0,0,0,"n"
69,0,0,0,0,0,"n"
8,0,0,0,0,0,"n"
398,0,0,0,0,0,"n"
38,0,0,0,0,0,"y"
750,0.071,0.244,0,0.19,0.06,"y"
37,0,0,0,0,0,"n"
180,0,1.385,0,0,0,"y"
106,0,1.478,0,0,0,"y"
441,0.113,0.213,0.66,0,0.33,"y"
99,0,0,0,0,0,"n"
499,0.068,0.017,0,0.34,0,"n"
240,0,0,0,0,0,"y"
264,0.187,0,0,0,0,"y"
67,0,0.656,0,0,0,"n"
79,0,0,0,0,0,"y"
678,0.03,0,0,0,0.11,"n"
922,0.191,0.437,0.77,1.34,0.77,"y"
3,0,0,0,0,0,"n"
80,0,0.653,0,0,0,"y"
51,0,0,0,0,0,"y"
9,0,0,0,0,0,"n"
26,0,0,0,0,0,"n"
142,0,0,0,0,0,"y"
68,0,0,0,0,0.34,"y"
16,0,0,0,0,0,"n"
120,0,1.055,0,0,0,"y"
292,0,0.662,0,0.64,0,"y"
115,0,0.178,0,0.72,0,"y"
91,0,0.214,0,0,0,"n"
163,0,0,0,0,0,"n"
3,0,0,0,0,0,"n"
603,0.133,0.601,0,0.8,0,"y"
605,0.038,0.051,0,0.25,0,"n"
49,0,0,0,0,0,"n"
55,0,0,0,0,0,"n"
34,0,0,0,0,0,"n"
52,0,0.043,0,0,0,"n"
1140,0.013,0.088,0.08,0.34,0.17,"y"
20,0,0.391,0,0,0,"n"
379,0,0.488,0,0,0,"y"
69,0,0.097,0,0,0,"n"
75,0,0.524,0,0,0,"y"
232,0,0,0,0,0,"n"
72,0.389,0,0,1.08,0,"y"
11,0,0,0,0,0,"n"
39,0,0,0,0,0,"n"
23,0,0,0,0,0,"n"
4,0,0,0,0,0,"n"
85,0,0.045,0,0,0,"n"
217,0.23,1.306,0,1.42,0.47,"y"
263,0.231,0,0,0,0.44,"y"
40,0,0,0,0,0,"y"
44,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
2043,1.121,0,0,0,0.19,"y"
167,0,0.082,0,0,0.32,"n"
41,0.271,0.543,0,1.44,0,"y"
33,0,0,0,0,0,"y"
1479,0.056,0.031,0,0.12,0,"n"
10,0,0,0,0,0,"n"
82,0,0,0,0,0,"n"
979,0.046,0.585,0,0,0,"y"
291,0.291,0.582,0.27,0,0,"y"
88,0,0,0,0,0,"n"
139,0.166,0,0.32,0,0,"y"
8,0,0,0,0,0,"n"
254,0.041,0.041,0,0,0.12,"y"
185,0.72,0.102,0.6,0,0,"y"
113,0.128,0.064,0,0,0,"y"
72,0.23,0.23,0,0,0,"y"
3,0,0,0,0,0,"n"
217,0,0.931,0,0,0,"y"
71,0,0,0,0,0,"n"
767,0.162,1.626,0,0,0.45,"y"
84,0,0.157,0,0,0,"n"
68,0,0,0,0,0,"n"
65,0,0,0,0,0,"n"
32,0,0.278,0,0,0,"n"
216,0,0,0,0,0,"n"
74,0,0,0,0,0.67,"n"
158,0.056,0.224,0,0,0,"y"
22,0,0.757,0,0,0,"n"
260,0,0,0,0,0,"n"
136,0.054,0.109,0,0,0,"n"
42,0,0,0,0,0.79,"n"
23,0,0.709,0,0,0,"n"
2379,0.529,0.433,0.59,0.48,0.4,"y"
9,0,0,0,0,0,"n"
1365,0.154,0.417,0.19,0.59,0,"y"
116,0,0.129,0,0,0,"y"
180,0.26,1.216,0,1.62,0.54,"y"
25,0,0.523,0,0,0,"n"
506,0,0,0,0,0,"n"
114,0.763,0.109,0,2.95,0.59,"y"
228,0,0.06,0,0,0,"n"
81,0,0,0,0,0,"y"
112,0.407,0.407,0,0,0,"n"
11,0,0,0,0,0,"n"
112,0,0,0,0,0,"n"
24,0,0.331,0,0,0,"n"
30,0,0,0,0,1.31,"n"
744,0.168,1.683,0,0,0.47,"y"
12,0,0.373,0,0,0,"n"
5,0,0,0,0,0,"n"
40,0,0,0,0,0,"n"
108,0,0,0,0,0.55,"n"
38,0,0,0,0,0,"n"
26,0,0,0,0,0,"n"
17,0,0,0,0,0,"n"
1655,0.012,0,0.08,0,0.16,"n"
155,0.045,0,0,0,0,"n"
64,0.11,1.103,0,0,0,"y"
303,0.18,0.432,0,0,0.21,"y"
33,0,0,0,0,0,"n"
311,0,0.112,0,0,1.88,"n"
1319,0,0,0,0,0,"y"
164,0.178,0.089,0,0,0.5,"y"
103,0,0,0,0,0,"n"
140,0.37,0.444,0,2.2,0.44,"y"
281,0.195,0.845,0,0,0.49,"y"
61,0,0,0,0,0,"n"
107,0.054,0,0,0,0,"n"
111,0,0,0,0,0.26,"n"
109,0,0,0,0,0,"n"
40,0,0.203,0,0,0,"n"
40,0,0,0,0,0,"n"
130,0,0,0,0,0,"n"
159,0,0.396,0,0,0,"y"
55,0,0.487,0,0,1,"n"
9,0,0,0,0,0,"n"
258,0.107,0.08,0.16,0,0,"y"
5,0,0,0,0,0,"n"
211,0,0.05,0,0,0,"n"
30,0.597,0.298,0,3.17,0,"y"
10,0,0,0,0,0,"n"
6,0,0,0,0,0,"n"
19,0,1.149,0,0,0,"y"
262,0,0,0,0,0,"n"
43,0.465,0.232,0,0,0,"y"
29,0,0,0,0,1.49,"n"
1180,0.059,1.005,0,0,0.38,"y"
158,0.295,0.073,0,0,0,"y"
363,0,0.819,0,0,0,"y"
5,0,0,0,0,0,"n"
92,0,0.699,0,0,0,"y"
90,0,0,0,0,0.67,"n"
70,0,0.441,0,0,0,"y"
100,0.177,0.8,0.51,0,0,"y"
244,0.107,0.242,0.18,0,0,"y"
81,0.198,0.198,0,0,0,"y"
17,0,0.442,0,0,0,"n"
78,0,0.464,0,0,0,"y"
249,0.121,0.729,0.72,0,0,"y"
51,0,0.145,0,0,0,"n"
48,0,0,0,0,0,"n"
54,0,2.597,0,0,0,"y"
200,0.345,1.208,0,0,0,"y"
13,0,0,0,0,0,"n"
153,0,0.181,0,0,0,"n"
2,0,0,0,0,0,"y"
36,0,0,0,0,0,"n"
130,0,0,0,0,0,"y"
255,0.263,0.461,0,0.95,0,"y"
43,0,0.149,0,0,0,"n"
81,0,0,0,0,0,"n"
35,0,0,0,0,0,"n"
617,0.166,0,0,0,0.13,"n"
713,0.255,0.845,1.14,0.49,1.06,"y"
17,0,0,0,0,0,"n"
2184,0.528,0.452,0.63,0.38,0.52,"y"
2,0,0,0,0,0,"n"
16,0,1.458,0,0,0,"n"
3210,0.847,0.382,0.51,1.03,0.49,"y"
67,0,0,0,0,0,"n"
32,0,0.21,0,0,0,"n"
174,0,0,0,0,0,"n"
168,0.228,0.228,0,0,0,"y"
751,0.063,0,0,0.39,0.06,"n"
411,0.084,0.028,0,0,0.21,"n"
122,0,0.138,0,0,0,"y"
85,0,0,0,0,0.25,"n"
19,0,0.2,0,0,0,"n"
5,0,0,0,0,0,"n"
37,0,0,0,0,0,"n"
1315,0.745,0.826,0,0,0,"y"
54,0,0,0,0,0,"n"
593,0,0,0,0,0,"n"
202,0,0.038,0,0,0.26,"n"
61,0,0,0,0,0,"n"
179,0.332,0.498,0,1.83,0.73,"y"
259,0.103,0.619,0.6,0,0,"y"
85,0,0.241,0,0,0,"n"
155,0,0,0,0,0.3,"n"
158,0,0.125,0,0,0,"n"
7,0,0,0,0,0,"n"
21,0,1.156,0,0,0,"n"
13,0,0,0,0,0,"n"
921,0.191,0.438,0.77,1.35,0.77,"y"
38,0,0,0,0,0,"n"
15,0,0,0,0,0,"n"
720,0.02,0,0,0.22,0.07,"n"
222,0.094,0,0.78,0,0,"y"
481,0.036,0,0,0,0.13,"n"
68,0,0,0,0,0,"n"
270,0,0.055,0,0,0,"n"
215,0.069,0,0,0,0,"n"
200,0,1.501,0,0,0,"y"
273,0.047,0.142,0,0,0,"y"
23,0,0,0,0,0,"n"
1128,0.707,0.862,0,0,0,"y"
41,0,0,0,0,0,"n"
127,0,0.177,0,0,0,"n"
419,0.058,0.117,0,0.35,0,"y"
5,0,0,0,0,0,"n"
285,0,0,0,0,0,"n"
61,0,0,0,0,0.89,"n"
44,0,0,0,0,0,"n"
43,0.118,0.355,0,0.74,0.74,"y"
184,0,0.149,0,0,0,"n"
62,0,0,0,0,0,"y"
4,0,0,0,0,0,"n"
64,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
94,0.13,0.52,1.94,0,0,"y"
9,0,0,0,0,0,"n"
75,0,0.573,0,0,0,"y"
44,0.118,0.355,0,0.74,0.74,"y"
75,0,0,0,0,0,"n"
11,0,0,0,0,0,"n"
114,0,0,0,0,0,"n"
6,0,0,0,0,0,"n"
194,0.294,0.589,0.48,0,0,"y"
25,0.17,0,0,0,0,"y"
7,0,0,0,0,0,"y"
43,0,0,0,0,0,"n"
1330,0.105,0.898,0,0,0.34,"y"
146,0,0,0,0,0,"n"
15,0,0,0,0,0,"n"
52,0.109,0.875,0,0.73,0,"y"
574,0.013,0.108,0.08,0.34,0.17,"y"
110,0,0,0,0,0,"y"
3,0,0,0,0,0,"n"
139,0.157,0,0.32,0,0,"y"
757,1.313,5.848,0.09,0,0.09,"y"
82,0,0,0,0,0,"n"
40,0,0,0,0,0,"n"
45,0,0.165,0,0,0,"n"
121,0,0,0,0,0.51,"n"
270,0,0,0,0,0,"n"
161,0.127,0.063,0,0.45,0,"y"
97,0,0,0,0,0,"n"
990,0,0.061,0,0,0,"y"
27,0,0,0,0,0,"n"
285,0,0.75,0,0,0,"y"
85,0.062,0,0,0,0,"n"
40,0,0.909,0,0,0,"y"
376,0,0,0,0,0,"n"
95,0,5.555,0,0,0,"y"
39,0,0.817,0,0,0,"n"
9,0,0,0,0,0,"n"
380,0.206,0,0.07,1,0.14,"y"
76,0,0,0,0,0,"n"
4,0,0,0,0,0,"n"
319,0,0,0,0,0,"n"
99,0,0.061,0.7,0,0,"y"
45,0,0.448,0,0,0,"n"
143,0,0,0,0,0,"n"
36,0.267,0.802,0,0,1.63,"y"
363,0.112,0.187,0,1.6,0.45,"y"
65,0,0.561,0,0,0,"y"
72,0.23,0.23,0,0,0,"y"
86,0.18,0.361,0,0,0,"n"
74,0,0,0,0,0.46,"n"
441,0.349,0,0,1.28,0,"y"
82,0,0,0,0,0,"n"
44,0,0.26,0,0,0,"n"
196,0.055,0,0,0,0,"n"
110,0,0,0,0,0,"n"
187,0.365,0,0,0,0,"n"
5,0,0,0,0,0,"n"
13,0,0,0,2.12,0,"n"
1825,0,0,0,0,0.05,"n"
37,0,0,0,0,0,"n"
92,0,0.085,0,0,0,"n"
447,0.265,0,0.49,0,0,"y"
898,0.23,0.278,0.26,0.19,0.46,"y"
33,0,0,0,0,0,"n"
391,0.031,0,0,0,0,"n"
349,0,1.152,0,0,0,"y"
8,0,0,0,0,0,"n"
180,0.019,0.019,0,0.12,0.12,"y"
207,0,0,0,0,0.19,"n"
1003,0.032,0.887,0.1,0,0,"y"
118,0,0,0,0,0,"n"
483,0.222,0.101,0.96,0.72,0.6,"y"
2510,0.011,0.029,0,0.03,0.06,"y"
153,0.207,0.552,1.61,0,0,"y"
99,0,0,0,0,0,"n"
77,0,0,0,0,0,"n"
31,0,0,0,0,0,"n"
4,0,0,0,0,0,"n"
478,0.229,0.104,0.98,0.49,0.73,"y"
1214,0.175,0.307,0.2,0.1,0.1,"y"
358,0.403,0.359,0.25,0.77,0.51,"y"
1620,0,0,0,0,0,"n"
1509,0.197,0.434,0.11,0.59,0,"y"
18,0,0.74,0,0,0,"n"
77,0,0.406,0,0,0,"n"
25,0,0,0,0,0,"n"
542,0.03,0.242,0.09,0.36,0.09,"y"
121,0,2.205,0,0,0.66,"y"
76,0,0.407,0,0,0,"y"
195,0,3.907,0,0.87,0,"y"
39,0,0,0,0,0,"n"
11,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
428,0,0,0,0,0,"n"
22,0,0,0,0,0.68,"n"
307,0,0.097,0,0,0,"n"
320,0.216,0.577,0,0.43,0,"y"
23,0,0,0,0,0,"n"
62,0.514,1.799,0,0,0,"y"
17,0,0,0,0,0,"n"
114,0,0.261,1.56,0,0.39,"y"
61,0.208,0.417,0,0,0,"y"
425,0,0.157,0,0.1,0.1,"n"
191,0,0.137,0,0,0,"y"
156,0,0,0,0,0,"n"
128,0,0,0,0,0,"n"
179,0,0.065,0,0,0,"n"
22,0,0,0,0,0,"n"
822,0,0,0,0,0,"n"
44,0,0,0,0,0,"n"
378,0,0,0,0,0,"n"
1349,0.101,0.859,0,0,0.33,"y"
258,0,0.51,0.38,0,0,"y"
216,0.05,0.381,0.28,0.14,0.14,"y"
42,0,0.415,0,0,0,"y"
479,0.205,0.102,0.96,0.72,0.6,"y"
56,0,0,0,0,0,"n"
14,0,0,0,0,0,"n"
36,0,0.213,0,0,0,"n"
49,0,0.107,0,0,0,"n"
108,0.279,0.559,0,0,0,"y"
139,0.168,0,0.32,0,0,"y"
37,0,0,0,0,0,"n"
201,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
28,0,0.444,0,0,0,"n"
19,0,0,0,0,0,"y"
188,0,0.471,0,0,0,"y"
37,0,0,0,0,0.48,"n"
47,0,0,0,0,0,"n"
13,0,0,0,0,0,"n"
1046,0.397,0.977,0.3,0,0.1,"y"
186,0,0,0,0,0,"n"
